L,Are you answering these questions for yourself - or are you answering on behalf someone else who has the medical problem,,,,,,,,,,,,,,,,Respondent answering on behalf of,,0
,,Myself,,,,,,,,,,,,,,,,,
,,Someone else,,,,,,,,,,,,,,,,,
L,,,What is your relationship to the person with the medical problem,,,,,,,,,,,,,,Relationship of respondent to patient,,
,,,,Main or Joint Carer,,,,,,,,,,,,,,,
,,,,Relative,,,,,,,,,,,,,,,
,,,,Friend,,,,,,,,,,,,,,,
,,,,Professional supporter,,,,,,,,,,,,,,,
L,Which sex are you,,,,,,,,,,,,,,,What is the sex of the person,Gender,,
,,male,,,,,,,,,,,,,,,,,
,,female,,,,,,,,,,,,,,,,,
,,transgender,,,,,,,,,,,,,,,,,
N,How many years old are you. (This can be zero years for babies),,,,,,,,,,,,,,,How many years old is the person (This can be 0 years old  for babies),Age in years,,
,,Number,,,,,,,,,,,,,,,,,
N,,,How many months old is the baby. (This can be zero months for small babies),,,,,,,,,,,,,,Age in months,,
,,,,number,,,,,,,,,,,,,,,
N,,,,,How many weeks old is the baby. (This can be zero weeks for newborn babies),,,,,,,,,,,,Age in weeks,,
,,,,,,number,,,,,,,,,,,,,
N,,,,,,,How many days old is the newborn baby. ,,,,,,,,,,Age in days,,
,,,,,,,,number,,,,,,,,,,,
L,Do you get regular medication through this pharmacy,,,,,,,,,,,,,,,Does the person get regular medication through this pharmacy,Obtaining regular medication through pharmacy,,
,,yes,,,,,,,,,,,,,,,,,
,,no,,,,,,,,,,,,,,,,,
,,don’t know,,,,,,,,,,,,,,,,,
L,Are any of the following problems the main reason for this visit,,,,,,,,,,,,,,,,Confirmation of reason for visit,,
,,Back pain,,,,,,,,,,,,,,,,,
,,Cough or Cold,,,,,,,,,,,,,,,,,
,,Headache,,,,,,,,,,,,,,,,,
,,Rash,,,,,,,,,,,,,,,,,
,,Urine problems,,,,,,,,,,,,,,,,,
D,diagnoser #tree dialog,,,,,,,,,,,,,,,,,,
L,,,What kind of health professional made this diagnosis,,,,,,,,,,,,,,Diagnosis made by,,
,,,,GP or Nurse Practitioner,,,,,,,,,,,,,,,
,,,,Out of Hours Dr or Nurse Practitioner ,,,,,,,,,,,,,,,
,,,,A & Emergency Department Doctor or Nurse Practitioner,,,,,,,,,,,,,,,
,,,,Another type of  hospital doctor,,,,,,,,,,,,,,,
,,,,Pharmacist,,,,,,,,,,,,,,,
,,,,Paramedic,,,,,,,,,,,,,,,
T,,,"In which clinic, hospital or organisation does this health professional work",,,,,,,,,,,,,,Location of diagnosis professional,,
,,,,text ,,,,,,,,,,,,,,,
L,,,When was the diagnosis made,,,,,,,,,,,,,,,,
,,,,Within the last week,,,,,,,,,,,,,When diagnosis made,,
,,,,Within the last month,,,,,,,,,,,,,,,
,,,,Within the last year,,,,,,,,,,,,,,,
,,,,More than 1 year ago,,,,,,,,,,,,,,,
D,advice #tree dialog,,,,,,,,,,,,,,,,,,
X,Within the past 4 weeks what advice been obtained from any  health professional about this problem. If no advice has been obtained please go on to next question.,,,,,,,,,,,,,,,,,,
,,/*multi instance*/,,,,,,,,,,,,,,,,,
L,,,Health professional,,,,,,,,,,,,,,Advice from following health professional,,
,,,,Pharmacist,,,,,,,,,,,,,,,
,,,,GP or Nurse Practitioner in general practice,,,,,,,,,,,,,,,
,,,,Out of Hours Dr or Nurse Practitioner ,,,,,,,,,,,,,,,
,,,,A & Emergency Department Doctor or Nurse Practitioner,,,,,,,,,,,,,,,
